"","reads.in","reads.out"
"T0-Soil-25-1_S23_L001_R1_001.fastq.gz",109,101
"T0-Soil-25-2_S24_L001_R1_001.fastq.gz",23738,21466
"T0-Soil-25-3_S25_L001_R1_001.fastq.gz",86,81
"T0-Soil-25-3repeat_S406_L001_R1_001.fastq.gz",58326,56445
"T0-Soil-50-1_S20_L001_R1_001.fastq.gz",57,49
"T0-Soil-50-2_S21_L001_R1_001.fastq.gz",53,50
"T12-NC-1_S400_L001_R1_001.fastq.gz",36322,35022
"T12-NC-1repeat_S413_L001_R1_001.fastq.gz",10,6
"T12-NC-2_S401_L001_R1_001.fastq.gz",35184,33838
"T12-NC-2repeat_S414_L001_R1_001.fastq.gz",45814,44637
"T12-NC-3_S402_L001_R1_001.fastq.gz",45178,43571
"T12-NC-3repeat_S415_L001_R1_001.fastq.gz",63309,60199
"T12-PEroot-noAs-1_S244_L001_R1_001.fastq.gz",31079,30322
"T12-PEroot-noAs-2_S245_L001_R1_001.fastq.gz",38942,37673
"T12-PEroot-noAs-3_S246_L001_R1_001.fastq.gz",45918,44427
"T12-PEshoot-noAs-1_S232_L001_R1_001.fastq.gz",43849,42496
"T12-PEshoot-noAs-2_S233_L001_R1_001.fastq.gz",29363,28425
"T12-PEshoot-noAs-3_S234_L001_R1_001.fastq.gz",43147,41861
"T12-PEsoilB-50-4_S385_L001_R1_001.fastq.gz",30452,29458
"T12-PEsoilB-50-5_S386_L001_R1_001.fastq.gz",49523,47929
"T12-PEsoilB-50-6_S387_L001_R1_001.fastq.gz",38100,36801
"T12-PEsoilB-noAs-1_S391_L001_R1_001.fastq.gz",31264,30260
"T12-PEsoilB-noAs-2_S392_L001_R1_001.fastq.gz",38393,36995
"T12-PEsoilB-noAs-3_S393_L001_R1_001.fastq.gz",41,37
"T12-PEsoilR-noAs-1_S358_L001_R1_001.fastq.gz",26639,25818
"T12-PEsoilR-noAs-2_S359_L001_R1_001.fastq.gz",41437,39995
"T12-PEsoilR-noAs-3_S360_L001_R1_001.fastq.gz",26169,25277
"T12-PVroot-25-1_S259_L001_R1_001.fastq.gz",42683,41258
"T12-PVroot-25-2_S260_L001_R1_001.fastq.gz",49947,48253
"T12-PVroot-25-3_S261_L001_R1_001.fastq.gz",43535,42073
"T12-PVroot-25-5_S263_L001_R1_001.fastq.gz",33857,32826
"T12-PVroot-25-6_S264_L001_R1_001.fastq.gz",29995,29196
"T12-PVroot-50-1_S265_L001_R1_001.fastq.gz",51284,49682
"T12-PVroot-50-2_S266_L001_R1_001.fastq.gz",45175,43987
"T12-PVroot-50-3_S267_L001_R1_001.fastq.gz",42995,41721
"T12-PVroot-50-4_S268_L001_R1_001.fastq.gz",44644,43195
"T12-PVroot-50-5_S269_L001_R1_001.fastq.gz",46427,44950
"T12-PVroot-50-6_S270_L001_R1_001.fastq.gz",56226,54399
"T12-PVroot-noAs-1_S241_L001_R1_001.fastq.gz",59726,57852
"T12-PVroot-noAs-2_S242_L001_R1_001.fastq.gz",40475,39471
"T12-PVroot-noAs-3_S243_L001_R1_001.fastq.gz",47063,45491
"T12-PVshoot-25-1_S247_L001_R1_001.fastq.gz",38218,37026
"T12-PVshoot-25-2_S248_L001_R1_001.fastq.gz",36117,34984
"T12-PVshoot-25-3_S249_L001_R1_001.fastq.gz",39458,38237
"T12-PVshoot-25-4_S250_L001_R1_001.fastq.gz",1,1
"T12-PVshoot-25-5_S251_L001_R1_001.fastq.gz",95405,92343
"T12-PVshoot-25-6_S252_L001_R1_001.fastq.gz",25650,24986
"T12-PVshoot-50-1_S253_L001_R1_001.fastq.gz",11432,11071
"T12-PVshoot-50-2_S254_L001_R1_001.fastq.gz",37898,36810
"T12-PVshoot-50-3_S255_L001_R1_001.fastq.gz",49229,47661
"T12-PVshoot-50-4_S256_L001_R1_001.fastq.gz",5443,5278
"T12-PVshoot-50-5_S257_L001_R1_001.fastq.gz",38524,37298
"T12-PVshoot-50-6_S258_L001_R1_001.fastq.gz",44149,42703
"T12-PVshoot-noAs-1_S229_L001_R1_001.fastq.gz",47197,45763
"T12-PVshoot-noAs-2_S230_L001_R1_001.fastq.gz",36389,35311
"T12-PVshoot-noAs-3_S231_L001_R1_001.fastq.gz",45848,44380
"T12-PVsoilB-25-1_S361_L001_R1_001.fastq.gz",44160,42693
"T12-PVsoilB-25-2_S362_L001_R1_001.fastq.gz",46288,44816
"T12-PVsoilB-25-3_S363_L001_R1_001.fastq.gz",54049,52302
"T12-PVsoilB-25-4_S364_L001_R1_001.fastq.gz",48142,46438
"T12-PVsoilB-25-6_S366_L001_R1_001.fastq.gz",51737,50052
"T12-PVsoilB-50-1_S367_L001_R1_001.fastq.gz",42436,40231
"T12-PVsoilB-50-2_S368_L001_R1_001.fastq.gz",58316,56326
"T12-PVsoilB-50-3_S369_L001_R1_001.fastq.gz",37648,36491
"T12-PVsoilB-50-4_S370_L001_R1_001.fastq.gz",30439,29502
"T12-PVsoilB-50-5_S371_L001_R1_001.fastq.gz",114667,110547
"T12-PVsoilB-50-6_S372_L001_R1_001.fastq.gz",24797,24097
"T12-PVsoilB-noAs-1_S388_L001_R1_001.fastq.gz",39111,37822
"T12-PVsoilB-noAs-2_S389_L001_R1_001.fastq.gz",37749,36514
"T12-PVsoilR-25-1_S343_L001_R1_001.fastq.gz",43685,42168
"T12-PVsoilR-25-2_S344_L001_R1_001.fastq.gz",46160,44690
"T12-PVsoilR-25-3_S345_L001_R1_001.fastq.gz",33526,32447
"T12-PVsoilR-25-4_S346_L001_R1_001.fastq.gz",24104,23424
"T12-PVsoilR-25-5_S347_L001_R1_001.fastq.gz",162384,156806
"T12-PVsoilR-25-6_S348_L001_R1_001.fastq.gz",28911,28106
"T12-PVsoilR-50-1_S349_L001_R1_001.fastq.gz",42529,41085
"T12-PVsoilR-50-2_S350_L001_R1_001.fastq.gz",52035,50416
"T12-PVsoilR-50-3_S351_L001_R1_001.fastq.gz",39025,37754
"T12-PVsoilR-50-4_S352_L001_R1_001.fastq.gz",98924,94985
"T12-PVsoilR-50-6_S354_L001_R1_001.fastq.gz",56470,54501
"T12-PVsoilR-noAs-1_S355_L001_R1_001.fastq.gz",40259,37800
"T12-PVsoilR-noAs-2_S356_L001_R1_001.fastq.gz",57400,55234
"T12-PVsoilR-noAs-3_S357_L001_R1_001.fastq.gz",28500,27584
"T12-Soil-25-1_S394_L001_R1_001.fastq.gz",34341,33366
"T12-Soil-25-2_S395_L001_R1_001.fastq.gz",33644,32438
"T12-Soil-25-3_S396_L001_R1_001.fastq.gz",40384,36989
"T12-Soil-25-3repeat_S411_L001_R1_001.fastq.gz",5,5
"T12-Soil-50-1_S397_L001_R1_001.fastq.gz",83207,79955
"T12-Soil-50-2_S398_L001_R1_001.fastq.gz",44718,42897
"T12-Soil-50-3_S399_L001_R1_001.fastq.gz",109576,105250
"T12-Soil-50-3repeat_S412_L001_R1_001.fastq.gz",64,60
"T6-PEroot-25-2_S145_L001_R1_001.fastq.gz",11628,11305
"T6-PEroot-25-4_S146_L001_R1_001.fastq.gz",34311,33398
"T6-PEroot-25-5_S147_L001_R1_001.fastq.gz",36570,35465
"T6-PEroot-50-1_S148_L001_R1_001.fastq.gz",120451,117059
"T6-PEroot-50-6_S150_L001_R1_001.fastq.gz",105139,101766
"T6-PEroot-noAs-1_S154_L001_R1_001.fastq.gz",61661,59983
"T6-PEroot-noAs-2_S155_L001_R1_001.fastq.gz",109551,106229
"T6-PEroot-noAs-3_S156_L001_R1_001.fastq.gz",67886,66168
"T6-PEshoot-25-1_S166_L001_R1_001.fastq.gz",56724,55139
"T6-PEshoot-25-2_S167_L001_R1_001.fastq.gz",121378,117433
"T6-PEshoot-25-3_S168_L001_R1_001.fastq.gz",89211,86613
"T6-PEshoot-50-3_S169_L001_R1_001.fastq.gz",119184,115422
"T6-PEshoot-50-4_S170_L001_R1_001.fastq.gz",80343,78064
"T6-PEshoot-50-6_S171_L001_R1_001.fastq.gz",14301,13918
"T6-PEshoot-noAs-1_S157_L001_R1_001.fastq.gz",138664,134043
"T6-PEshoot-noAs-2_S158_L001_R1_001.fastq.gz",4877,4728
"T6-PEshoot-noAs-3_S159_L001_R1_001.fastq.gz",127819,123783
"T6-PEsoilB-25-2_S130_L001_R1_001.fastq.gz",101690,98694
"T6-PEsoilB-25-3_S131_L001_R1_001.fastq.gz",93277,90125
"T6-PEsoilB-25-4_S132_L001_R1_001.fastq.gz",83862,81459
"T6-PEsoilB-50-1_S133_L001_R1_001.fastq.gz",104082,100598
"T6-PEsoilB-50-3_S134_L001_R1_001.fastq.gz",86289,83873
"T6-PEsoilB-50-6_S135_L001_R1_001.fastq.gz",41354,40003
"T6-PEsoilB-noAs-1_S106_L001_R1_001.fastq.gz",209,190
"T6-PEsoilB-noAs-2_S107_L001_R1_001.fastq.gz",127,126
"T6-PEsoilB-noAs-3_S108_L001_R1_001.fastq.gz",556,534
"T6-PEsoilR-25-1_S112_L001_R1_001.fastq.gz",40011,38731
"T6-PEsoilR-25-6_S114_L001_R1_001.fastq.gz",111781,108095
"T6-PEsoilR-50-1_S121_L001_R1_001.fastq.gz",112689,109144
"T6-PEsoilR-50-3_S122_L001_R1_001.fastq.gz",36713,35598
"T6-PEsoilR-50-6_S123_L001_R1_001.fastq.gz",94338,91403
"T6-PVroot-25-2_S139_L001_R1_001.fastq.gz",46023,44543
"T6-PVroot-25-4_S140_L001_R1_001.fastq.gz",88477,85682
