"","taxon","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold"
"1","sp1",297.166030937287,-3.80707565148638,0.311825676524208,-12.2089870658577,2.78332741156599e-34,2.41592819323928e-31,"PE vs. PV","Enriched"
"2","sp2",233.23192405108,3.56430572952586,0.346806640324421,10.2775013944128,8.90050777046071e-25,1.93141018618998e-22,"PE vs. PV","Enriched"
"3","sp6",18.5810071732819,-0.34192069430694,0.237799510402663,-1.43785281024326,0.15047582150028,0.271544725701129,"PE vs. PV","Not_Enriched"
"4","sp7",9.30309234488843,1.0232120235363,0.300004144360417,3.41065962844514,0.000648059367446678,0.00426148129502816,"PE vs. PV","Not_Enriched"
"5","sp9",14.0868204789312,-0.839388028466109,0.249464320916638,-3.3647618440258,0.000766097540295032,0.00499444888875002,"PE vs. PV","Not_Enriched"
"6","sp10",1.88411748437298,0.421725552145388,0.22392745019724,1.88331333105397,0.0596579178530931,0.139577015354406,"PE vs. PV","Not_Enriched"
"7","sp12",11.9803015988527,1.26976784039941,0.256220075250363,4.95577030472209,7.20442869153109e-07,1.09709545688579e-05,"PE vs. PV","Not_Enriched"
"8","sp13",15.5177426663949,2.75033142060105,0.320599413145606,8.5787163289408,9.59377481384306e-18,9.25266282046197e-16,"PE vs. PV","Enriched"
"9","sp14",1.07424070378504,0.191141477992786,0.181537143058362,1.05290561905194,0.292384250549491,NA,"PE vs. PV","Not_Enriched"
"10","sp16",8.91703709196568,1.22165258996844,0.234916203196584,5.20037602066182,1.98885748242326e-07,3.52311896886407e-06,"PE vs. PV","Not_Enriched"
"11","sp17",8.49321556430049,-0.335604866720975,0.218485755335902,-1.53604918638752,0.124526317383928,0.237036937476425,"PE vs. PV","Not_Enriched"
"12","sp18",7.94770270690965,-0.979062997657278,0.217360069687573,-4.5043369698241,6.65804880758287e-06,8.02664772914157e-05,"PE vs. PV","Not_Enriched"
"13","sp21",3.85216002372918,1.8411504259547,0.205094022525926,8.97710427285592,2.77986401086631e-19,3.44703137347423e-17,"PE vs. PV","Not_Enriched"
"14","sp22",7.21755472855575,0.417163957021731,0.225331800098183,1.85133193290943,0.0641218148140011,0.146259991797305,"PE vs. PV","Not_Enriched"
"15","sp23",7.02872335484354,1.50366325703662,0.244609637923208,6.14719546540792,7.88649196987443e-10,2.28182500995034e-08,"PE vs. PV","Not_Enriched"
